feature,importance
avg_neighbor_pagerank,0.08709369
clustering_coefficient,0.081151985
pagerank_lag_1,0.0744843
pagerank,0.06932964
katz_centrality,0.0667507
core_number,0.06493445
avg_neighbor_degree,0.062467843
community_size,0.06185529
authority_score,0.06179478
pagerank_lag_2,0.054679103
closeness_centrality,0.0544354
hub_score,0.052553948
total_degree,0.050510876
in_degree,0.046830393
bridging_score,0.046482433
betweenness_centrality,0.03278285
out_degree,0.03186228
eigenvector_centrality,0.0
